"","acoustic_project_code","station_name","deploy_latitude","deploy_longitude"
"122","2017_Fremur","F16",48.570391,-2.0848718
"123","2017_Fremur","F17",48.5709197,-2.0859962
"124","2017_Fremur","F18",48.5725315,-2.0845636
"125","2017_Fremur","F19",48.5711972,-2.0875173
"126","2017_Fremur","F20",48.5710153,-2.0888171
"127","2017_Fremur","F21",48.572804,-2.0902
"128","2017_Fremur","F22",48.5708606,-2.0903234
"129","2017_Fremur","F23",48.5703,-2.0916271
"130","2017_Fremur","F24",48.5663244,-2.0924762
"131","2017_Fremur","F25",48.5703243,-2.0931643
"132","2017_Fremur","F26",48.570855,-2.094656
"133","2017_Fremur","F27",48.5764351,-2.0978072
"134","2017_Fremur","F28",48.5769283,-2.099336
"135","2017_Fremur","F29",48.5763816,-2.1022033
"136","2017_Fremur","F30",48.5771422,-2.1027529
"137","2017_Fremur","F31",48.580934,-2.1078641
"138","2017_Fremur","F32",48.582385,-2.1078699
"139","2017_Fremur","F33",48.5873987,-2.1203978
"140","2017_Fremur","F34",48.5884209,-2.1221963
"141","2017_Fremur","F35",48.5902372,-2.1235563
"142","2017_Fremur","F36",48.5903258,-2.1235922
"143","2019_Grotenete","bn-1",51.093001,4.506837
"144","2019_Grotenete","bn-2",51.117416,4.549158
"145","2019_Grotenete","bn-3",51.126391,4.571903
"146","2019_Grotenete","gn-1",51.133464,4.588822
"147","2019_Grotenete","gn-2",51.135829,4.5937
"148","2019_Grotenete","gn-3",51.130352,4.617316
"149","2019_Grotenete","gn-4",51.135075,4.664932
"150","2019_Grotenete","gn-5",51.125942,4.718199
"151","2019_Grotenete","gn-6",51.078636,4.757592
"152","2019_Grotenete","gn-7",51.061848,4.787587
"153","2019_Grotenete","gn-8",51.070653,4.851284
"154","2019_Grotenete","gn-9",51.081153,4.913762
"155","2019_Grotenete","gn-10",51.091558,4.945793
"156","2019_Grotenete","gn-11",51.09592,4.957142
"157","2019_Grotenete","gn-12",51.103738,4.985322
"158","2019_Grotenete","gn-13",51.119771,4.990306
"159","2019_Grotenete","gn-14",51.138267,4.996319
"160","2019_Grotenete","ru-1",51.082273,4.366215
"161","albert","ak-2",50.618026,5.591871
"162","albert","ak-3",50.62285,5.580676
"163","albert","ak-10",50.654402,5.622823
"164","albert","ak-11",50.65697,5.626992
"165","albert","ak-13",50.702052,5.67876
"166","albert","ak-14",50.714109,5.672638
"167","albert","ak-15",50.746608,5.689263
"168","albert","ak-16",50.75531,5.682348
"169","albert","ak-17",50.807726,5.674801
"170","albert","ak-18",50.811713,5.692692
"171","albert","ak-19",50.8608382,5.6386158
"172","albert","ak-20",50.8892706,5.6621637
"173","albert","ak-21",50.8887819,5.5749605
"174","albert","ak-22",50.9356423,5.4970086
"175","albert","ak-23",50.9357743,5.487716
"176","albert","ak-24",50.9380396,5.4373164
"177","albert","ak-25",50.9385133,5.4270421
"178","albert","ak-26",50.9406125,5.3743823
"179","albert","ak-27",50.9406792,5.3643243
"180","albert","ak-28",51.096684,5.108784
"181","albert","ak-29",51.096888,5.1133155
"182","albert","ak-30",50.097208,5.109596
"183","albert","ak-31",51.097875,5.108846
"184","albert","ak-32",51.098211,5.108959
"185","albert","ak-33",51.0985513,5.1029468
"186","albert","ak-34",51.1282853,5.1413858
"187","albert","ak-35",51.1576335,4.8653041
"188","albert","ak-36",51.159335,4.85635
"189","albert","ak-37",51.1601262,4.8561323
"190","albert","ak-38",51.168795,4.835036
"191","albert","ak-39",51.2248728,4.544249
"192","albert","ak-40",51.2281277,4.5332846
"193","albert","ak-41",51.239128,4.397469
"194","albert","ak-42",51.242076,4.403539
"195","albert","ak-43",51.249274,4.506109
"196","albert","ak-44",51.273737,4.332208
"197","albert","ak-45",51.280982,4.329702
"198","albert","ak-46",51.344943,4.290537
"199","albert","ak-47",51.345793,4.278738
"200","albert","ak-48",51.367743,4.3015
"201","albert","ak-x",51.097476,5.109196
"202","albert","HH1",50.941845,5.334551
"203","albert","HH2",50.965597,5.287241
"204","albert","HH3",50.973296,5.270083
"205","albert","HH4",50.99323,5.245137
"206","albert","HH5",51.016368,5.233414
"207","albert","HH6",51.041797,5.21874
"208","albert","HH7",51.055307,5.208966
"209","albert","HH8",51.076378,5.170783
"210","albert","HH9",51.092742,5.137916
"211","albert","HH10",51.154979,5.147086
"212","albert","HH11",51.194393,5.155753
"213","albert","S02",51.096973,5.110242
"214","albert","S07",51.096973,5.110242
"215","albert","S08",51.097872,5.109724
"216","albert","S09",51.097162,5.11063
"217","albert","S09-2",51.097162,5.11063
"218","albert","S10",51.097225,5.110328
"219","albert","S12",51.096669,5.111477
"220","albert","S13",51.097103,5.111644
"221","albert","S14",51.098103,5.110244
"222","albert","S15",51.09763,5.108964
"223","albert","S16",51.097907,5.109191
"224","albert","S17",51.098163,5.109424
"225","albert","S18",51.097433,5.109707
"226","albert","TOEVOERKANAAL",51.097195,5.10597
"227","albert","zandvlietsluis haven B",51.34458,4.30243
"228","bpns",NA,NA,NA
"229","bpns","?",51.703017,2.8133333
"230","bpns","Belreef 2",51.4066,3.459
"231","bpns","Blackfish",51,3
"232","bpns","bpns_CNB01",51.67254,2.80187
"233","bpns","bpns-A1BIS",51.361333,2.967
"234","bpns","bpns-B05BELWIND",51.671667,2.796965
"235","bpns","BPNS-Belreef1",51.40839,3.45679
"236","bpns","bpns-BelwindReefballs",51.70442,2.81259
"237","bpns","bpns-BIRKENFELS",51.649333,2.533833333
"238","bpns","bpns-bloso",51.14883,2.72977
"239","bpns","bpns-boudewijn",51.308913,3.2029422
"240","bpns","bpns-brugge",51.329591,3.198043
"241","bpns","bpns-buitenratel",51.1937,2.4653
"242","bpns","bpns-C05AR1Belwind",51.671118,2.800503
"243","bpns","bpns-C05AR2Belwind",51.668632,2.80547
"244","bpns","bpns-C05AR3Belwind",51.667386,2.79966
"245","bpns","bpns-C05BELWIND",51.669075,2.8019683
"246","bpns","bpns-CNB02",51.67115,2.80438
"247","bpns","bpns-CNB03",51.66968,2.80741
"248","bpns","bpns-CNB04",51.67174,2.79819
"249","bpns","bpns-CNB05",51.6703,2.80098
"250","bpns","bpns-CNB06",51.66882,2.80399
"251","bpns","bpns-CNB07",51.66726,2.80668
