catchedDateTime,projectName,tag,utcReleaseDateTime,scientificName,sedativeConcentration,temperatureChange,holdingTemperature,postOpHoldingPeriod,preopHoldingPeriod,sedative,treatmentType,wildOrHatchery,endDateTag,stock,surgeryLocation,dnaSampleTaken,dissolvedOxygen,surgeryLongitude,recaptureDate,bufferConcentrationInRecirculation,implantType,implantMethod,tagSerialNumber,anestheticConcentrationInRecirculation,bufferConcentrationInAnaesthetic,comments,surgeryLatitude,anaesthetic,buffer,anaestheticConcentration,dateOfSurgery,releaseLatitude,length,length2Units,lengthType,lengthUnits,length4Type,length4,length2Type,length2,commonName,animalId,length3,length3Type,length3Units,length4Units,weight,captureLongitude,captureLatitude,captureDepth,releaseLocation,personId,captureMethod,captureLocation,age,weightUnits,ageUnits,sex,lifeStage,releaseLongitude
,nedap_meuse,5455,2004-09-14T00:00:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,2-phenoxy-ethanol,,0.9 ml/L,,51.10986,870,mm,total length,mm,pectoral fin length,4,horizontal eye diameter,0.9,,,0.8,vertical eye diameter,mm,mm,1047,,,,Ohe and Laak slibway,,fyke nets,,,g,,female,,5.82025
,nedap_meuse,5456,2004-09-14T00:00:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,2-phenoxy-ethanol,,0.9 ml/L,,51.10986,840,mm,total length,mm,pectoral fin length,4.1,horizontal eye diameter,1,,,0.93,vertical eye diameter,mm,mm,1315,,,,Ohe and Laak slibway,,fyke nets,,,g,,female,,5.82025
,nedap_meuse,5457,2004-09-14T00:00:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,2-phenoxy-ethanol,,0.9 ml/L,,51.10986,800,mm,total length,mm,pectoral fin length,3.9,horizontal eye diameter,0.64,,,0.94,vertical eye diameter,mm,mm,1055,,,,Ohe and Laak slibway,,fyke nets,,,g,,female,,5.82025
,nedap_meuse,5458,2004-09-14T00:00:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,2-phenoxy-ethanol,,0.9 ml/L,,51.10986,740,mm,total length,mm,pectoral fin length,3.2,horizontal eye diameter,0.82,,,0.73,vertical eye diameter,mm,mm,723,,,,Ohe and Laak slibway,,fyke nets,,,g,,female,,5.82025
,nedap_meuse,5459,2004-09-14T00:00:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,2-phenoxy-ethanol,,0.9 ml/L,,51.10986,790,mm,total length,mm,pectoral fin length,5.4,horizontal eye diameter,0.72,,,0.72,vertical eye diameter,mm,mm,853,,,,Ohe and Laak slibway,,fyke nets,,,g,,female,,5.82025
,nedap_meuse,5460,2004-09-14T00:00:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,2-phenoxy-ethanol,,0.9 ml/L,,51.10986,800,mm,total length,mm,pectoral fin length,3.6,horizontal eye diameter,0.72,,,0.75,vertical eye diameter,mm,mm,1233,,,,Ohe and Laak slibway,,fyke nets,,,g,,female,,5.82025
,nedap_meuse,5461,2004-09-15T00:00:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,2-phenoxy-ethanol,,0.9 ml/L,,51.10986,760,mm,total length,mm,pectoral fin length,3.63,horizontal eye diameter,0.78,,,0.69,vertical eye diameter,mm,mm,750,,,,Ohe and Laak slibway,,fyke nets,,,g,,female,,5.82025
,nedap_meuse,5462,2004-09-14T00:00:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,2-phenoxy-ethanol,,0.9 ml/L,,51.10986,820,mm,total length,mm,pectoral fin length,3.6,horizontal eye diameter,0.8,,,0.65,vertical eye diameter,mm,mm,944,,,,Ohe and Laak slibway,,fyke nets,,,g,,female,,5.82025
,nedap_meuse,5463,2004-09-14T00:00:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,2-phenoxy-ethanol,,0.9 ml/L,,51.10986,750,mm,total length,mm,pectoral fin length,3.7,horizontal eye diameter,0.8,,,0.8,vertical eye diameter,mm,mm,713,,,,Ohe and Laak slibway,,fyke nets,,,g,,female,,5.82025
,nedap_meuse,5464,2004-09-14T00:00:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,2-phenoxy-ethanol,,0.9 ml/L,,51.10986,690,mm,total length,mm,pectoral fin length,3.2,horizontal eye diameter,0.6,,,0.6,vertical eye diameter,mm,mm,647,,,,Ohe and Laak slibway,,fyke nets,,,g,,female,,5.82025
