deployLat,stationName,locationName,deployLong,projectName,receiver,deployDateTime,distanceToMouth,transmitProfile,arBatteryInstallDate,batteryInstallDate,locationDescription,transmitPowerOutput,logNoiseStatsPeriod,logDepthStatsPeriod,logDepthSamplePeriod,mooringType,logNoiseSamplePeriod,locationManager,logTemperatureSamplePeriod,logTiltSamplePeriod,logTemperatureStatsPeriod,timeDrift,recoverLong,recoverDateTime,bottomDepth,recoverLat,intendedLong,downloadDateTime,intendedLat,riserLength,instrumentDepth,dataDownloaded,voltageAtDownload,dropDeadDate,arConfirm,voltageAtDeploy,checkCompleteTime,syncDateTime,comments
51.16677,Maas_Linne_vistrap,Maas_Linne_vistrap,5.92151,nedap_meuse,NEDAP29,2002-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.16075,Maas_Linne_wkc      ,Maas_Linne_wkc,5.94233,nedap_meuse,NEDAP30,2002-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.16757,Maas_Linne_wkc_ben,Maas_Linne_wkc_beneden,5.92424,nedap_meuse,NEDAP31,2002-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.81067,Maas_Lith_dorp      ,Maas_Lith_dorp,5.4323,nedap_meuse,NEDAP32,2002-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.81072,Maas_Lith_stuw_ben,Maas_Lith_stuw_beneden,5.45221,nedap_meuse,NEDAP33,2002-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.8117,Maas_Lith_vistrap   ,Maas_Lith_vistrap,5.45498,nedap_meuse,NEDAP34,2002-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.8626,Maas_Maastricht,Maas_Maastricht,5.69946,nedap_meuse,NEDAP35,2002-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.82711,Maas_Megen,Maas_Megen,5.56273,nedap_meuse,NEDAP36,2002-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.20048,Maas_Roermond_bov,Maas_Roermond_boven,5.98231,nedap_meuse,NEDAP37,2002-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.21042,Maas_Roermond_vistra,Maas_Roermond_vistrap,5.98233,nedap_meuse,NEDAP38,2002-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.64097,Maas_Sambeek        ,Maas_Sambeek,5.98515,nedap_meuse,NEDAP39,2002-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.6419,Maas_Sambeek_ben_stu,Maas_Sambeek_beneden_stuw,5.98526,nedap_meuse,NEDAP40,2002-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.33536,Maas_Steyl,Maas_Steyl,6.11764,nedap_meuse,NEDAP41,2002-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.97518,Nederrijn_Arnhem,Nederrijn_Arnhem,5.87046,nedap_meuse,NEDAP42,2002-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.98981,Nederrijn_Hagestein,Nederrijn_Hagestein,5.13362,nedap_meuse,NEDAP43,2002-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.97524,Nederrijn_Maurik_WKC_ben,Nederrijn_Maurik,5.41634,nedap_meuse,NEDAP44,2002-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.95741,NieuweWaterweg_Europoort,Nieuwe_Waterweg_Europoort,4.15233,nedap_meuse,NEDAP45,2002-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.47096,Noordzeekanaal_IJmuiden_gemaal,Noordzeekanaal_IJmuiden_gemaal,4.60279,nedap_meuse,NEDAP46,2002-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.47096,NZK_IJmuiden_spui,Noordzeekanaal_NZK_IJmuiden_spui,4.60279,nedap_meuse,NEDAP47,2002-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.44132,Noordzeekanaal_Velsen,Noordzeekanaal_Velsen,4.6974,nedap_meuse,NEDAP48,2002-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.84173,OudeMaas_Spijkenisse,Oude_Maas_Spijkenisse,4.41701,nedap_meuse,NEDAP49,2002-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.66336,Rijn_Xanten         ,Rijn_Xanten,6.49344,nedap_meuse,NEDAP50,2002-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.18695,Roer_Roermond,Roer_Roer_Roermond,5.98085,nedap_meuse,NEDAP51,2002-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.14887,Roer_Sint_Odili?ber,Roer_Sint_Odiliënberg,5.99987,nedap_meuse,NEDAP52,2002-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.80387,Spui_Zuidland       ,Spui_Zuidland,4.26537,nedap_meuse,NEDAP53,2002-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.82488,Waal_Brakel,Waal_Brakel,5.09182,nedap_meuse,NEDAP54,2002-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
