catchedDateTime,projectName,tag,utcReleaseDateTime,scientificName,sedativeConcentration,temperatureChange,holdingTemperature,postOpHoldingPeriod,preopHoldingPeriod,sedative,treatmentType,wildOrHatchery,endDateTag,stock,surgeryLocation,dnaSampleTaken,dissolvedOxygen,surgeryLongitude,recaptureDate,bufferConcentrationInRecirculation,implantType,implantMethod,tagSerialNumber,anestheticConcentrationInRecirculation,bufferConcentrationInAnaesthetic,comments,surgeryLatitude,anaesthetic,buffer,anaestheticConcentration,dateOfSurgery,releaseLatitude,length,length2Units,lengthType,lengthUnits,length4Type,length4,length2Type,length2,commonName,animalId,length3,length3Type,length3Units,length4Units,weight,captureLongitude,captureLatitude,captureDepth,releaseLocation,personId,captureMethod,captureLocation,age,weightUnits,ageUnits,sex,lifeStage,releaseLongitude
2013-12-29T09:00:00Z,2013_Stour,15,2013-12-29T16:35:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,523,,total length,mm,,,,,,,,,,,376,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2013-12-29T09:00:00Z,2013_Stour,16,2013-12-29T16:35:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,709,,total length,mm,,,,,,,,,,,705,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2013-12-29T09:00:00Z,2013_Stour,17,2013-12-29T16:35:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,710,,total length,mm,,,,,,,,,,,729,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2013-12-29T09:00:00Z,2013_Stour,18,2013-12-29T16:35:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,764,,total length,mm,,,,,,,,,,,747,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2013-12-29T09:00:00Z,2013_Stour,19,2013-12-29T16:35:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,582,,total length,mm,,,,,,,,,,,387,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2013-12-29T09:00:00Z,2013_Stour,20,2013-12-29T16:35:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,536,,total length,mm,,,,,,,,,,,272,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2013-12-29T09:00:00Z,2013_Stour,21,2013-12-29T16:35:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,578,,total length,mm,,,,,,,,,,,402,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2013-12-29T09:00:00Z,2013_Stour,22,2013-12-29T16:35:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,709,,total length,mm,,,,,,,,,,,673,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2013-12-29T09:00:00Z,2013_Stour,23,2013-12-29T16:35:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,599,,total length,mm,,,,,,,,,,,435,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2013-12-29T09:00:00Z,2013_Stour,24,2013-12-29T16:35:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,597,,total length,mm,,,,,,,,,,,367,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2013-11-22T09:00:00Z,2013_Stour,25,2013-11-22T16:32:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,542,,total length,mm,,,,,,,,,,,299,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2013-11-22T09:00:00Z,2013_Stour,26,2013-11-22T16:32:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,556,,total length,mm,,,,,,,,,,,326,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2013-11-22T09:00:00Z,2013_Stour,27,2013-11-22T16:32:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,513,,total length,mm,,,,,,,,,,,273,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2013-11-22T09:00:00Z,2013_Stour,28,2013-11-22T16:32:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,582,,total length,mm,,,,,,,,,,,373,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2013-11-22T09:00:00Z,2013_Stour,29,2013-11-22T16:32:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,512,,total length,mm,,,,,,,,,,,239,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2014-12-12T09:00:00Z,2013_Stour,30,2014-12-12T18:05:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,,,total length,mm,,,,,,,,,,,,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
