,s-2,s-Wetteren,s-Wichelen,s-2a,s-3,s-Dendermonde,s-4b,s-4c,s-6,s-8,s-9,s-12,s-STD3,s-7,s-5,ak-41,s-Vlassenbroek,s-4a,s-9a,s-8a,s-11,s-4,s-10a,ak-45,ws-53A,ws-53,ws-42A,ws-18,ws-25B,ws-16,ws-14,ws-12A,ws-6,ws-4,ws-PVTSS,ws-DL9,ws-DL7,ws-55,ws-2C,ws-TRAWL,ws-F42,ws-HW6,ws-11,s-1,ws-OGDL,ws-OG10,ws-SP3,ws-25A,ws-25,ws-23,ws-A5,ws-PPC,ws-A3,ws-A1,ws-15A,ws-15,ws-W6,ak-47,ws-WN2,bpns-WENDUINEBANKW,bpns-Whitley,me-7-2,M-6,ws-13,ws-W7,bpns-W1,bpns-Trapegeer,du-Hamveer,bpns-WK12,ws-FZ2,bpns-S4,bpns-A1BIS,bpns-S7,bpns-O6,M-4,M-4A,M-3,M-2,M-1,M-5,s-Dendermonde2,bpns-KB2,bpns-middelkerkebank,bpns-nieuwpoortbank,ws-borssele,PC4C-C05-2,PC4C-C05-9,ws-GVWSP,bpns-Cpowerreefballs-CPOD,bpns-zbe1,bpns-ZA2,ws-F53,bpns-WK14,rel_schelde1,rel_dijle,rel_schelde2,rel_schelde3,rel_schelde4,rel_schelde5
ws-25A,137514.9392,130880.276,125435.3626,120600.7511,110711.4684,105201.0651,92691.01644,90201.64545,82177.78246,72495.09165,67048.15043,44565.52829,40652.33216,80188.08548,87388.05922,59258.55791,97377.06679,96028.73146,66848.21248,72595.06062,44948.26233,106690.7219,59341.36062,48651.88683,20014.15381,20162.56857,20810.95024,2565.446573,1648.315476,1124.137881,941.146527,1855.249039,6279.960497,6804.064869,7569.581769,25573.81935,26822.16131,20114.14719,9020.499734,25548.88988,20959.365,20890.60233,8752.092007,138170.1701,23791.12916,24605.06744,26442.52907,0,499.9669052,1524.111405,2689.650644,3041.202788,3820.808548,4910.565095,5683.150832,6672.913998,25779.38858,40038.47827,25634.84322,70951.91062,92502.50282,82781.31926,90005.62572,8210.821375,25306.78299,36551.31242,99098.91535,89802.03804,51782.25583,21176.54243,53953.31134,61457.4031,45278.09788,70280.75582,95864.38177,95864.38177,96205.71446,96388.53496,98443.84398,93667.67801,105201.0651,80211.60676,81805.91839,95732.80294,10992.83519,82544.56607,82627.36879,26004.30481,65088.12003,44992.87656,45889.59315,19962.58181,40486.15439,77274.23739,95864.38177,104235.5126,120559.3253,94122.08127,137514.9392
ws-25,138014.9061,131380.2429,125935.3295,121100.718,111211.4353,105701.032,93190.98335,90701.61236,82677.74937,72995.05855,67548.11734,45065.49519,41152.29906,80688.05239,87888.02612,59758.52481,97877.03369,96528.69836,67348.17939,73095.02753,45448.22923,107190.6888,59841.32753,49151.85373,20514.12072,20662.53548,21310.91714,3065.413478,2148.282382,1624.104786,1065.42382,1648.120217,5955.696441,6596.936048,7362.452947,25073.85245,26322.1944,20614.1141,8813.370912,25048.92298,21459.33191,21390.56924,8544.963185,138670.137,23291.16226,24105.10054,25942.56217,499.9669052,0,1024.1445,2189.683739,2541.235883,3320.841643,4410.59819,5183.183927,6172.947093,25279.42167,40538.44518,25134.87631,70451.94371,92002.53591,83281.28616,90505.59262,8003.692553,24806.81608,36051.34551,98598.94844,90302.00494,51282.28892,21676.50933,53453.34444,60957.4362,44778.13098,69780.78891,96364.34868,96364.34868,96705.68136,96888.50186,98943.81089,94167.64491,105701.032,79711.63985,81305.95149,95232.83604,10785.70637,82044.59917,82127.40188,25504.33791,64588.15312,44492.90966,45389.62624,20462.54872,39986.18749,77774.20429,96364.34868,104735.4795,121059.2922,94622.04817,138014.9061
ws-23,138790.6425,132155.9792,126711.0659,121876.4543,111987.1717,106476.7683,93966.71971,91477.34871,83453.48572,73770.79491,68323.8537,45841.23155,41928.03542,81463.78875,88663.76248,60534.26117,98652.77005,97304.43472,68123.91575,73870.76388,46223.96559,107966.4252,60617.06389,49927.59009,21289.85708,21438.27184,22086.6535,4089.557978,3172.426882,2399.841145,1548.322095,1223.936003,5282.957641,5924.197247,6689.714146,24049.70795,25298.0499,21389.85046,8140.632112,24024.77848,22235.06826,22166.3056,7872.224385,139445.8733,22267.01776,23080.95604,24918.41766,1524.111405,1024.1445,0,1165.539238,1682.696811,2296.697142,3386.45369,4159.039426,5148.802593,24255.27717,41314.18153,24110.73181,69427.79921,90978.39141,84057.02252,91281.32898,7330.953753,23782.67158,35027.20101,97574.80394,91077.7413,50258.14442,22452.24569,52429.19994,59933.2917,43753.98648,68756.64441,97140.08503,97140.08503,97481.41772,97664.23822,99719.54725,94943.38127,106476.7683,78687.49535,80281.80699,94208.69154,10112.96757,81020.45467,81103.25738,24480.19341,63564.00862,43468.76516,44365.48174,21238.28508,38962.04299,78549.94065,97140.08503,105511.2158,121835.0286,95397.78453,138790.6425
ws-A5,139624.9709,132990.3076,127545.3943,122710.7827,112821.5,107311.0967,94801.04809,92311.6771,84287.81411,74605.12329,69158.18208,46675.55993,42762.3638,82298.11713,89498.09086,61368.58955,99487.09844,98138.7631,68958.24413,74705.09227,47058.29397,108800.7535,61451.39227,50761.91847,22124.18546,22272.60022,22920.98189,5255.097217,4337.96612,3565.380383,2382.650478,1589.723452,4468.824103,5110.063709,5875.580608,22884.16871,24132.51066,22224.17884,7326.498573,22859.23924,23069.39665,23000.63398,7058.090847,140280.2017,21101.47852,21915.4168,23752.87843,2689.650644,2189.683739,1165.539238,0,848.3684281,1131.157904,2220.914451,3227.770655,4217.533821,23089.73794,42148.50992,22945.19258,68262.25997,89812.85217,84891.35091,92115.65736,6516.820214,22617.13234,33861.66178,96409.2647,91912.06968,49092.60519,23286.57408,51263.6607,58767.75246,42588.44724,67591.10518,97974.41342,97974.41342,98315.7461,98498.5666,100553.8756,95777.70966,107311.0967,77521.95611,79116.26775,93043.1523,9298.834031,79854.91543,79937.71814,23314.65417,62398.46938,42303.22592,43199.94251,22072.61346,37796.50375,79384.26903,97974.41342,106345.5442,122669.357,96232.11291,139624.9709
ws-PPC,140473.3393,133838.676,128393.7627,123559.1511,113669.8685,108159.4651,95649.41652,93160.04552,85136.18253,75453.49172,70006.55051,47523.92836,43610.73223,83146.48556,90346.45929,62216.95798,100335.4669,98987.13153,69806.61256,75553.46069,47906.6624,109649.122,62299.7607,51610.2869,22972.55389,23120.96865,23769.35031,5606.649361,4689.518264,4082.537955,3231.018906,2438.09188,4820.083358,5461.322964,6226.839863,22532.61657,23780.95852,23072.54727,7677.757829,22507.6871,23917.76507,23849.00241,7409.350102,141128.5701,20749.92637,21563.86465,23401.32628,3041.202788,2541.235883,1682.696811,848.3684281,0,1482.417159,2513.60609,3579.02991,4568.793076,22738.18579,42996.87834,22593.64043,67910.70783,89461.30003,85739.71933,92964.02579,6868.079469,22265.5802,33510.10963,96057.71256,92760.43811,48741.05304,24134.9425,50912.10855,58416.20031,42236.89509,67239.55303,98822.78185,98822.78185,99164.11453,99346.93503,101402.2441,96626.07808,108159.4651,77170.40397,78764.7156,92691.60016,9650.093286,79503.36328,79586.166,22963.10202,62046.91724,41951.67378,42848.39036,22920.98189,37444.95161,80232.63746,98822.78185,107193.9127,123517.7254,97080.48134,140473.3393
ws-A3,140093.7071,133459.0438,128014.1305,123179.5189,113290.2362,107779.8329,95269.78428,92780.41329,84756.5503,75073.85948,69626.91827,47144.29612,43231.1,82766.85332,89966.82706,61837.32575,99955.83463,98607.49929,69426.98032,75173.82846,47527.03017,109269.4897,61920.12846,51230.65467,22592.92165,22741.33641,23389.71808,6386.255121,5469.124024,4696.538287,3348.202954,2141.262359,3337.666198,3978.905805,4744.422704,21753.01081,23001.35276,22692.91503,6195.340669,21728.08134,23538.13284,23469.37017,5926.932942,140748.9379,19970.32061,20784.25889,22621.72052,3820.808548,3320.841643,2296.697142,1131.157904,1482.417159,0,1089.756547,2096.612751,3086.375917,21958.58003,42617.24611,21814.03467,67131.10207,88681.69427,85360.0871,92584.39356,5385.66231,21485.97444,32730.50387,95278.1068,92380.80588,47961.44728,23755.31027,50132.50279,57636.59455,41457.28933,66459.94727,98443.14961,98443.14961,98784.48229,98967.3028,101022.6118,96246.44585,107779.8329,76390.79821,77985.10984,91911.9944,8167.676127,78723.75752,78806.56024,22183.49626,61267.31148,41172.06802,42068.7846,22541.34965,36665.34585,79853.00523,98443.14961,106814.2804,123138.0931,96700.84911,140093.7071
ws-A1,140603.8446,133969.1813,128524.268,123689.6565,113800.3738,108289.9704,95779.92183,93290.55084,85266.68785,75583.99703,70137.05582,47654.43367,43741.23755,83276.99087,90476.9646,62347.4633,100465.9722,99117.63684,69937.11787,75683.96601,48037.16772,109779.6273,62430.26601,51740.79222,23103.0592,23251.47396,23899.85563,7476.011668,6558.880571,5786.294834,4437.959501,3231.018906,2306.477268,2947.716874,3713.233773,20663.25426,21911.59621,23203.05258,5164.151739,20638.32479,24048.27039,23979.50772,4895.744012,141259.0754,18880.56407,19694.50235,21531.96398,4910.565095,4410.59819,3386.45369,2220.914451,2513.60609,1089.756547,0,1065.42382,2055.186986,20868.82348,43127.38366,20724.27812,66041.34552,87591.93772,85870.22465,93094.53111,4354.47338,20396.21789,31640.74732,94188.35025,92890.94343,46871.69073,24265.44782,49042.74625,56546.83801,40367.53279,65370.19072,98953.28716,98953.28716,99294.61984,99477.44035,101532.7494,96756.5834,108289.9704,75301.04166,76895.3533,90822.23785,7136.487196,77634.00098,77716.80369,21093.73972,60177.55493,40082.31147,40979.02805,23051.4872,35575.5893,80363.14278,98953.28716,107324.418,123648.2307,97210.98666,140603.8446
ws-15A,140631.2059,133996.5427,128551.6293,123717.0178,113827.7351,108317.3318,95807.28314,93317.91215,85294.04916,75611.35835,70164.41713,47681.79498,43768.59886,83304.35218,90504.32592,62374.82461,100493.3335,99144.99816,69964.47918,75711.32732,48064.52903,109806.9886,62457.62732,51768.15353,23130.42051,23278.83527,23927.21694,8248.597405,7331.466308,6558.880571,5210.545238,4003.604643,1241.053448,1882.293054,2647.809953,19890.66852,21139.01047,23230.41389,4098.727918,19865.73905,24075.6317,24006.86903,3830.320192,141286.4368,18107.97833,18921.91661,20759.37824,5683.150832,5183.183927,4159.039426,3227.770655,3579.02991,2096.612751,1065.42382,0,989.7631661,20096.23775,43154.74497,19951.69239,65268.75978,86819.35199,85897.58596,93121.89242,3289.049559,19623.63215,30868.16159,93415.76451,92918.30474,46099.105,24292.80913,48270.16051,55774.25227,39594.94705,64597.60499,98980.64847,98980.64847,99321.98116,99504.80166,101560.1107,96783.94471,108317.3318,74528.45593,76122.76756,90049.65211,6071.063376,76861.41524,76944.21795,20321.15398,59404.9692,39309.72573,40206.44232,23078.84851,34803.00356,80390.50409,98980.64847,107351.7793,123675.592,97238.34797,140631.2059
ws-15,141041.3501,134406.6868,128961.7735,124127.1619,114237.8793,108727.4759,96217.42731,93728.05632,85704.19333,76021.50251,70574.5613,48091.93915,44178.74303,83714.49635,90914.47008,62784.96878,100903.4777,99555.14232,70374.62335,76121.47149,48474.6732,110217.1328,62867.77149,52178.2977,23540.56468,23688.97944,24337.36111,9238.360571,8321.229474,7548.643737,6200.308404,4993.367809,806.9670711,1306.787532,1740.898316,18900.90536,20149.24731,23640.55806,3688.925454,18875.97589,24485.77587,24417.0132,2840.557026,141696.5809,17118.21516,17932.15344,19769.61507,6672.913998,6172.947093,5148.802593,4217.533821,4568.793076,3086.375917,2055.186986,989.7631661,0,19106.47458,43564.88914,18961.92922,64278.99662,85829.58882,86307.73013,93532.03659,2299.286393,18633.86899,29878.39842,92426.00135,93328.4489,45109.34183,24702.9533,47280.39734,54784.4891,38605.18388,63607.84182,99390.79264,99390.79264,99732.12532,99914.94583,101970.2548,97194.08888,108727.4759,73538.69276,75133.00439,89059.88895,5081.30021,75871.65207,75954.45479,19331.39081,58415.20603,38319.96257,39216.67915,23488.99268,33813.2404,80800.64826,99390.79264,107761.9234,124085.7362,97648.49214,141041.3501
ws-W6,160147.8247,153513.1614,148068.2481,143233.6365,133344.3538,127833.9505,115323.9019,112834.5309,104810.6679,95127.9771,89681.03588,67198.41373,63285.21761,102820.9709,110020.9447,81891.44336,120009.9522,118661.6169,89481.09793,95227.94607,67581.14778,129323.6074,81974.24607,71284.77228,42647.03926,42795.45402,43443.83569,28344.83515,27427.70406,26655.11832,25306.78299,24099.84239,19499.42808,19151.02656,18502.64489,6292.573947,6478.130145,42747.03264,18398.78211,2555.031854,43592.25045,43523.48778,17847.2432,160803.0555,6796.873995,7913.650149,4995.712986,25779.38858,25279.42167,24255.27717,23089.73794,22738.18579,21958.58003,20868.82348,20096.23775,19106.47458,0,62671.36372,1348.213296,46083.35189,67633.94409,105414.2047,112638.5112,18154.24337,941.146527,11682.75369,74230.35662,112434.9235,26002.86725,43809.42788,28422.3309,36588.84438,20409.53916,45412.19709,118497.2672,118497.2672,118838.5999,119021.4204,121076.7294,116300.5635,127833.9505,55343.04803,56937.35967,70864.24422,18161.26339,56765.17749,56847.98021,3654.690564,39308.73145,20124.31784,21021.03442,42595.46726,15617.59567,99907.12284,118497.2672,126868.398,143192.2108,116754.9667,160147.8247
ak-47,100300.4619,93665.79864,88220.8853,83386.27375,73496.99108,67986.58774,55476.53912,52987.16813,44963.30514,35280.61433,29833.67311,7351.050967,3437.854839,42973.60817,50173.5819,22044.08059,60162.58947,58814.25414,29633.73517,35380.5833,7733.785009,69476.24458,22126.8833,11437.40951,20438.33803,20786.73955,20635.17417,37804.24255,38886.97908,38914.34039,39765.85944,40558.78646,43171.93564,43520.33716,44168.71883,62465.79449,63714.13645,19924.33108,44272.58161,62440.86502,20983.57569,21714.76007,44824.12051,100955.6927,60683.1043,61497.04258,63334.50421,40038.47827,40538.44518,41314.18153,42148.50992,42996.87834,42617.24611,43127.38366,43154.74497,43564.88914,62671.36372,0,62526.81836,107843.8858,129394.478,45566.84194,52791.1484,44517.12035,62198.75812,73443.28756,135990.8905,52587.56072,88674.23097,20600.79283,90845.28648,98349.37824,82170.07302,107172.731,58649.90445,58649.90445,58991.23714,59174.05764,61229.36666,56453.20069,67986.58774,117103.5819,118697.8935,132624.7781,46010.6466,119436.5412,119519.3439,62896.27995,101980.0952,81884.8517,82781.56829,20986.72631,77378.12953,40059.76007,58649.90445,67021.03526,83344.84799,56907.60395,100300.4619
ws-WN2,160003.2793,153368.616,147923.7027,143089.0912,133199.8085,127689.4051,115179.3565,112689.9855,104666.1225,94983.43174,89536.49052,67053.86837,63140.67225,102676.4256,109876.3993,81746.898,119865.4069,118517.0715,89336.55257,95083.40071,67436.60242,129179.062,81829.70071,71140.22692,42502.4939,42650.90866,43299.29033,28200.28979,27283.1587,26510.57296,25162.23763,23955.29703,19354.88272,19006.4812,18358.09953,4944.360651,5129.916849,42602.48728,18254.23675,1206.818558,43447.70509,43378.94242,17702.69785,160658.5101,5448.660699,6565.436853,3647.499689,25634.84322,25134.87631,24110.73181,22945.19258,22593.64043,21814.03467,20724.27812,19951.69239,18961.92922,1348.213296,62526.81836,0,47138.7271,68689.31931,105269.6593,112493.9658,18009.69801,2206.508294,12738.12891,75285.73183,112290.3781,26147.41261,43664.88252,29477.70612,37644.21959,21464.91437,46467.57231,118352.7219,118352.7219,118694.0545,118876.875,120932.1841,116156.0181,127689.4051,56398.42324,57992.73488,71919.61943,17105.88818,56909.72285,56992.52557,2306.477268,39453.27681,21179.69305,22076.40964,42450.9219,16672.97088,99762.57748,118352.7219,126723.8527,143047.6654,116610.4214,160003.2793
bpns-WENDUINEBANKW,205320.3467,198685.6834,193240.7701,188406.1586,178516.8759,173006.4725,160496.4239,158007.0529,149983.1899,140300.4991,134853.5579,112370.9358,108457.7396,147993.493,155193.4667,127063.9654,165182.4743,163834.1389,134653.62,140400.4681,112753.6698,174496.1294,127146.7681,116457.2943,87819.5613,87967.97606,88616.35773,73517.35719,72600.22609,71827.64036,70479.30502,69272.36443,64671.95012,64323.5486,63675.16693,50677.46496,49925.93929,87919.55468,64482.134,48052.70758,88764.77249,88696.00982,63433.77881,205975.5775,52294.54972,52591.37924,49146.33353,70951.91062,70451.94371,69427.79921,68262.25997,67910.70783,67131.10207,66041.34552,65268.75978,64278.99662,46083.35189,107843.8858,47138.7271,0,21550.5922,150586.7267,157811.0332,63326.76541,45810.73306,34400.5982,28147.00473,157607.4455,25880.70845,88981.94992,19242.34664,10724.42746,25673.81273,6016.975346,163669.7893,163669.7893,164011.1219,164193.9424,166249.2515,161473.0855,173006.4725,15138.68883,12344.45663,24780.89233,64244.61528,44582.41033,44782.34827,48508.12251,35945.37232,25959.03405,25238.02032,87767.9893,30465.75622,145079.6449,163669.7893,172040.9201,188364.7328,161927.4888,205320.3467
bpns-Whitley,226870.9389,220236.2756,214791.3623,209956.7508,200067.4681,194557.0647,182047.0161,179557.6451,171533.7821,161851.0913,156404.1501,133921.528,130008.3318,169544.0852,176744.0589,148614.5576,186733.0665,185384.7311,156204.2122,161951.0603,134304.262,196046.7216,148697.3603,138007.8865,109370.1535,109518.5683,110166.9499,95067.94939,94150.81829,93378.23256,92029.89722,90822.95663,86222.54232,85874.1408,85225.75913,72228.05716,71476.53149,109470.1469,86032.7262,69603.29978,110315.3647,110246.602,84984.37101,227526.1697,73845.14192,74141.97144,70696.92573,92502.50282,92002.53591,90978.39141,89812.85217,89461.30003,88681.69427,87591.93772,86819.35199,85829.58882,67633.94409,129394.478,68689.31931,21550.5922,0,172137.3189,179361.6254,84877.35761,67361.32526,55951.1904,6596.412527,179158.0377,47314.16542,110532.5421,40675.8036,32157.88443,47224.40494,22221.747,185220.3815,185220.3815,185561.7141,185744.5346,187799.8437,183023.6777,194557.0647,23477.31084,18427.50982,4969.157119,85795.20749,61624.73627,61824.67422,70058.71471,57378.82928,47509.62625,46788.61252,109318.5815,52016.34842,166630.2371,185220.3815,193591.5123,209915.325,183478.081,226870.9389
me-7-2,69913.12437,63278.46111,57833.54777,52998.93622,43109.65355,37599.25021,25089.20159,22599.8306,14575.96761,10286.22761,15733.16883,38215.79097,42128.9871,12586.27064,19786.24437,23981.25368,29775.25194,28426.91661,15933.10677,10186.25864,38032.99488,39088.90705,23498.52625,34919.37969,63181.17902,63529.58054,63378.01516,80547.08354,81629.82007,81657.18138,82508.70043,83301.62745,85914.77663,86263.17815,86911.55981,105208.6355,106456.9774,62667.17207,87015.4226,105183.706,63726.41668,64457.60106,87566.9615,70568.35521,103425.9453,104239.8836,106077.3452,82781.31926,83281.28616,84057.02252,84891.35091,85739.71933,85360.0871,85870.22465,85897.58596,86307.73013,105414.2047,45566.84194,105269.6593,150586.7267,172137.3189,0,7224.30646,87259.96134,104941.5991,116186.1285,178733.7315,22200.22319,131417.072,63343.63382,133588.1275,141092.2192,124912.914,149915.5719,13083.06251,13083.06251,13424.3952,13607.2157,15662.52472,10886.35875,37599.25021,159846.4229,161440.7345,175367.6191,88753.48759,162179.3822,162262.1849,105639.1209,144722.9362,124627.6927,125524.4093,63729.5673,120120.9705,9672.42254,13083.06251,36633.69773,52957.51046,26520.26642,69913.12437
M-6,77137.43083,70502.76757,65057.85423,60223.24268,50333.96001,44823.55667,32313.50805,29824.13706,21800.27407,17510.53407,22957.47529,45440.09743,49353.29356,19810.5771,27010.55083,31205.56014,36999.5584,35651.22307,23157.41323,17410.5651,45257.30134,46313.21351,30722.83271,42143.68615,70405.48548,70753.887,70602.32162,87771.39,88854.12653,88881.48784,89733.00689,90525.93391,93139.08309,93487.48461,94135.86627,112432.9419,113681.2839,69891.47852,94239.72906,112408.0125,70950.72314,71681.90752,94791.26796,77792.66167,110650.2518,111464.19,113301.6517,90005.62572,90505.59262,91281.32898,92115.65736,92964.02579,92584.39356,93094.53111,93121.89242,93532.03659,112638.5112,52791.1484,112493.9658,157811.0332,179361.6254,7224.30646,0,94484.2678,112165.9056,123410.435,185958.0379,29424.52965,138641.3784,70567.94028,140812.4339,148316.5257,132137.2205,157139.8784,5858.756052,5858.756052,6200.088737,6382.90924,8438.218263,3662.052291,44823.55667,167070.7293,168665.041,182591.9255,95977.79405,169403.6887,169486.4914,112863.4274,151947.2426,131851.9992,132748.7157,70953.87376,127345.277,16896.729,5858.756052,43858.00419,60181.81692,33744.57288,77137.43083
ws-13,141993.5813,135358.918,129914.0047,125079.3931,115190.1105,109679.7071,97169.65852,94680.28753,86656.42454,76973.73372,71526.79251,49044.17036,45130.97424,84666.72756,91866.7013,63737.19999,101855.7089,100507.3735,71326.85456,77073.7027,49426.90441,111169.364,63820.0027,53130.52891,24492.79589,24641.21065,25289.59232,10190.59178,9390.595918,8500.874948,7269.674848,6355.572336,2047.996112,1406.756505,641.2396061,17948.67415,19197.0161,24592.78927,1389.639061,17923.74468,25438.00708,25369.24441,541.2706325,142648.8121,16165.98395,16979.92223,18817.38386,8210.821375,8003.692553,7330.953753,6516.820214,6868.079469,5385.66231,4354.47338,3289.049559,2299.286393,18154.24337,44517.12035,18009.69801,63326.76541,84877.35761,87259.96134,94484.2678,0,17681.63778,28926.16721,91473.77014,94280.68012,44157.11062,25655.18451,46328.16613,53832.25789,37652.95267,62655.61061,100343.0238,100343.0238,100684.3565,100867.177,102922.4861,98146.32009,109679.7071,72586.46155,74180.77318,88107.65774,2782.013817,74919.42086,75002.22358,18379.1596,57462.97482,37367.73136,38264.44794,24441.22389,32861.00919,81752.87947,100343.0238,108714.1547,125037.9674,98600.72335,141993.5813
ws-W7,159675.2191,153040.5558,147595.6425,142761.0309,132871.7483,127361.3449,114851.2963,112361.9253,104338.0623,94655.3715,89208.43029,66725.80814,62812.61201,102348.3653,109548.3391,81418.83776,119537.3466,118189.0113,89008.49234,94755.34047,67108.54218,128851.0018,81501.64048,70812.16668,42174.43367,42322.84843,42971.23009,27872.22956,26955.09846,26182.51272,24834.17739,23627.2368,19026.82249,18678.42097,18030.0393,7150.868945,7336.425143,42274.42705,18671.40094,3413.326853,43119.64486,43050.88219,17623.04575,160330.4499,7655.168993,8771.945148,5854.007984,25306.78299,24806.81608,23782.67158,22617.13234,22265.5802,21485.97444,20396.21789,19623.63215,18633.86899,941.146527,62198.75812,2206.508294,45810.73306,67361.32526,104941.5991,112165.9056,17681.63778,0,11410.13486,73957.73779,111962.3179,26475.47284,43336.82228,28646.52836,36316.22554,20136.92032,45139.57826,118024.6616,118024.6616,118365.9943,118548.8148,120604.1238,115827.9579,127361.3449,55070.4292,56664.74083,70591.62539,18433.88222,57237.78309,57320.5858,4512.985562,39781.33704,19851.69901,20748.41559,42122.86167,15344.97684,99434.51724,118024.6616,126395.7924,142719.6052,116282.3611,159675.2191
bpns-W1,170919.7485,164285.0852,158840.1719,154005.5604,144116.2777,138605.8743,126095.8257,123606.4547,115582.5917,105899.9009,100452.9597,77970.33757,74057.14145,113592.8948,120792.8685,92663.3672,130781.8761,129433.5407,100253.0218,105999.8699,78353.07162,140095.5312,92746.16991,82056.69612,53418.9631,53567.37786,54215.75953,39116.75899,38199.6279,37427.04216,36078.70683,34871.76623,30271.35192,29922.9504,29274.56873,16276.86676,15525.34109,53518.95648,30081.53581,13652.10938,54364.17429,54295.41162,29033.18061,171574.9793,17893.95152,18190.78104,14745.73533,36551.31242,36051.34551,35027.20101,33861.66178,33510.10963,32730.50387,31640.74732,30868.16159,29878.39842,11682.75369,73443.28756,12738.12891,34400.5982,55951.1904,116186.1285,123410.435,28926.16721,11410.13486,0,62547.60293,123206.8473,16886.99769,54581.35172,19058.0532,24906.09068,9472.009887,33729.4434,129269.1911,129269.1911,129610.5237,129793.3442,131848.6533,127072.4873,138605.8743,43660.29434,45254.60597,59181.49052,29844.01709,47649.30793,47732.11064,14107.52431,30192.86189,8441.564144,9338.28073,53367.3911,3934.841974,110679.0467,129269.1911,137640.3219,153964.1346,127526.8906,170919.7485
bpns-Trapegeer,233467.3514,226832.6882,221387.7748,216553.1633,206663.8806,201153.4773,188643.4287,186154.0577,178130.1947,168447.5039,163000.5626,140517.9405,136604.7444,176140.4977,183340.4714,155210.9701,193329.479,191981.1437,162800.6247,168547.4728,140900.6745,202643.1341,155293.7728,144604.299,115966.566,116114.9808,116763.3625,101664.3619,100747.2308,99974.64508,98626.30975,97419.36916,92818.95485,92470.55333,91822.17166,78824.46968,78072.94402,116066.5594,92629.13873,76199.71231,116911.7772,116843.0145,91580.78354,234122.5823,80441.55445,80738.38397,77293.33826,99098.91535,98598.94844,97574.80394,96409.2647,96057.71256,95278.1068,94188.35025,93415.76451,92426.00135,74230.35662,135990.8905,75285.73183,28147.00473,6596.412527,178733.7315,185958.0379,91473.77014,73957.73779,62547.60293,0,185754.4503,52036.41421,117128.9546,45808.02572,37641.51224,53820.81746,28818.15953,191816.794,191816.794,192158.1267,192340.9472,194396.2562,189620.0902,201153.4773,27203.91015,22154.10914,4127.491417,92391.62001,65351.33558,65551.27353,76655.12723,61105.4286,54106.03878,53385.02505,115914.994,58612.76095,173226.6496,191816.794,200187.9248,216511.7375,190074.4935,233467.3514
du-Hamveer,54764.46015,48129.79689,42684.88356,37850.27201,27960.98933,22450.58599,9940.537378,7451.166385,7624.255577,17306.94639,22753.88761,45236.50975,49149.70588,9613.952553,4637.580152,31001.97245,14626.58772,13278.25239,22953.82555,17206.97742,45053.71366,23940.24284,30519.24503,41940.09847,70201.89779,70550.29932,70398.73393,87567.80232,88650.53884,88677.90016,89529.41921,90322.34623,92935.4954,93283.89693,93932.27859,112229.3543,113477.6962,69687.89084,94036.14137,112204.4248,70747.13546,71478.31984,94587.68028,55419.69099,110446.6641,111260.6023,113098.064,89802.03804,90302.00494,91077.7413,91912.06968,92760.43811,92380.80588,92890.94343,92918.30474,93328.4489,112434.9235,52587.56072,112290.3781,157607.4455,179158.0377,22200.22319,29424.52965,94280.68012,111962.3179,123206.8473,185754.4503,0,138437.7907,70364.3526,140608.8462,148112.938,131933.6328,156936.2907,35283.2857,35283.2857,35624.61839,35807.43889,37862.74791,33086.58194,22450.58599,166867.1417,168461.4533,182388.3379,95774.20637,169200.101,169282.9037,112659.8397,151743.6549,131648.4115,132545.1281,70750.28608,127141.6893,12527.80065,35283.2857,21485.03351,37808.84624,11371.6022,54764.46015
bpns-WK12,186150.6919,179516.0287,174071.1153,169236.5038,159347.2211,153836.8178,141326.7691,138837.3981,130813.5352,121130.8443,115683.9031,93201.28099,89288.08486,128823.8382,136023.8119,107894.3106,146012.8195,144664.4842,115483.9652,121230.8133,93584.01503,155326.4746,107977.1133,97287.63953,68649.90651,68798.32127,69446.70294,54347.7024,53430.57131,52657.98557,51309.65024,50102.70964,45502.29533,45153.89381,44505.51214,26788.05547,26036.52981,68749.89989,44401.64936,26233.36595,69595.1177,69526.35503,43850.11046,186805.9228,28405.14024,28701.96976,25339.72676,51782.25583,51282.28892,50258.14442,49092.60519,48741.05304,47961.44728,46871.69073,46099.105,45109.34183,26002.86725,88674.23097,26147.41261,25880.70845,47314.16542,131417.072,138641.3784,44157.11062,26475.47284,16886.99769,52036.41421,138437.7907,0,69812.29513,6638.361812,15156.28098,8703.475368,29660.69252,144500.1345,144500.1345,144841.4672,145024.2877,147079.5967,142303.4307,153836.8178,33149.10562,34743.41726,48670.30181,42839.28722,31875.09496,32075.0329,25777.95102,16527.08311,13389.35486,14847.4637,68598.33451,15022.22356,125909.9901,144500.1345,152871.2653,169195.078,142757.834,186150.6919
