,s-2,s-Wetteren,s-Wichelen,s-2a,s-3,s-Dendermonde,s-4b,s-4c,s-6,s-8,s-9,s-12,s-STD3,s-7,s-5,ak-41,s-Vlassenbroek,s-4a,s-9a,s-8a,s-11,s-4,s-10a,ak-45,ws-53A,ws-53,ws-42A,ws-18,ws-25B,ws-16,ws-14,ws-12A,ws-6,ws-4,ws-PVTSS,ws-DL9,ws-DL7,ws-55,ws-2C,ws-TRAWL,ws-F42,ws-HW6,ws-11,s-1,ws-OGDL,ws-OG10,ws-SP3,ws-25A,ws-25,ws-23,ws-A5,ws-PPC,ws-A3,ws-A1,ws-15A,ws-15,ws-W6,ak-47,ws-WN2,bpns-WENDUINEBANKW,bpns-Whitley,me-7-2,M-6,ws-13,ws-W7,bpns-W1,bpns-Trapegeer,du-Hamveer,bpns-WK12,ws-FZ2,bpns-S4,bpns-A1BIS,bpns-S7,bpns-O6,M-4,M-4A,M-3,M-2,M-1,M-5,s-Dendermonde2,bpns-KB2,bpns-middelkerkebank,bpns-nieuwpoortbank,ws-borssele,PC4C-C05-2,PC4C-C05-9,ws-GVWSP,bpns-Cpowerreefballs-CPOD,bpns-zbe1,bpns-ZA2,ws-F53,bpns-WK14,rel_schelde1,rel_dijle,rel_schelde2,rel_schelde3,rel_schelde4,rel_schelde5
ws-55,117400.792,110766.1288,105321.2154,100486.6039,90597.3212,85086.91786,72576.86925,70087.49826,62063.63527,52380.94445,46934.00324,24451.38109,20538.18496,60073.93829,67273.91202,39144.41071,77262.9196,75914.58426,46734.06529,52480.91343,24834.11513,86576.57471,39227.21343,28537.73963,1041.115501,1682.355107,2282.168948,17879.91148,18962.648,18990.00931,19841.52836,20634.45539,23247.60456,23596.00608,24244.38775,42541.46342,43789.80537,0,24348.25053,42516.53395,2840.557026,3723.160343,24899.78944,118056.0229,40758.77323,41572.7115,43410.17313,20114.14719,20614.1141,21389.85046,22224.17884,23072.54727,22692.91503,23203.05258,23230.41389,23640.55806,42747.03264,19924.33108,42602.48728,87919.55468,109470.1469,62667.17207,69891.47852,24592.78927,42274.42705,53518.95648,116066.5594,69687.89084,68749.89989,2764.896372,70920.95541,78425.04716,62245.74194,87248.39988,75750.23458,75750.23458,76091.56726,76274.38776,78329.69679,73553.53082,85086.91786,97179.25082,98773.56245,112700.447,26086.31552,99512.21014,99595.01285,42971.94887,82055.76409,61960.52063,62857.23721,1765.206635,57453.79846,57160.09019,75750.23458,84121.36538,100445.1781,74007.93407,117400.792
ws-2C,141749.0426,135114.3793,129669.466,124834.8544,114945.5717,109435.1684,96925.11978,94435.74879,86411.8858,76729.19498,71282.25377,48799.63162,44886.4355,84422.18882,91622.16255,63492.66125,101611.1701,100262.8348,71082.31582,76829.16396,49182.36567,110924.8252,63575.46396,52885.99017,24248.25715,24396.67191,25045.05358,10414.59397,10200.27428,9134.850457,8079.353207,7165.250695,2940.525999,2382.137922,1948.027138,18193.21289,19441.55484,24348.25053,0,18168.28342,25193.46834,25124.70567,1048.35519,142404.2734,16410.52269,17224.46097,19061.9226,9020.499734,8813.370912,8140.632112,7326.498573,7677.757829,6195.340669,5164.151739,4098.727918,3688.925454,18398.78211,44272.58161,18254.23675,64482.134,86032.7262,87015.4226,94239.72906,1389.639061,18671.40094,30081.53581,92629.13873,94036.14137,44401.64936,25410.64577,46821.11302,54987.62649,38808.32127,63810.97921,100098.4851,100098.4851,100439.8178,100622.6383,102677.9473,97901.78135,109435.1684,73741.83014,75336.14178,89263.02633,1972.335457,75163.9596,75246.76232,18623.69834,57707.51356,38523.09995,39419.81653,24196.68515,34016.37778,81508.34073,100098.4851,108469.6159,124793.4286,98356.18461,141749.0426
ws-TRAWL,159917.326,153282.6627,147837.7494,143003.1378,133113.8552,127603.4518,115093.4032,112604.0322,104580.1692,94897.4784,89450.53719,66967.91504,63054.71891,102590.4722,109790.446,81660.94466,119779.4535,118431.1182,89250.59924,94997.44737,67350.64908,129093.1087,81743.74738,71054.27358,42416.54057,42564.95533,43213.33699,28114.33646,27197.20536,26424.61962,25076.28429,23869.34369,19268.92939,18920.52786,18272.1462,3737.542093,3923.098291,42516.53395,18168.28342,0,43361.75175,43292.98909,17616.74451,160572.5568,4241.84214,5358.618295,2440.681131,25548.88988,25048.92298,24024.77848,22859.23924,22507.6871,21728.08134,20638.32479,19865.73905,18875.97589,2555.031854,62440.86502,1206.818558,48052.70758,69603.29978,105183.706,112408.0125,17923.74468,3413.326853,13652.10938,76199.71231,112204.4248,26233.36595,43578.92918,30391.68659,38558.20006,22378.89484,47381.55278,118266.7685,118266.7685,118608.1012,118790.9217,120846.2307,116070.0648,127603.4518,57312.40372,58906.71535,72833.59991,16605.92128,56995.67619,57078.4789,1099.65871,39539.23014,22093.67353,22990.39011,42364.96857,17586.95136,99676.62414,118266.7685,126637.8993,142961.7121,116524.468,159917.326
ws-F42,118460.0366,111825.3734,106380.46,101545.8485,91656.56582,86146.16247,73636.11386,71146.74287,63122.87988,53440.18907,47993.24785,25510.62571,21597.42958,61133.1829,68333.15664,40203.65533,78322.16421,76973.82888,47793.3099,53540.15804,25893.35975,87635.81932,40286.45804,29596.98425,1882.293054,1323.904977,641.2396061,18725.12928,19807.86581,19835.22712,20686.74617,21479.67319,24092.82237,24441.22389,25089.60556,43386.68122,44635.02318,2840.557026,25193.46834,43361.75175,0,965.4548465,25745.00724,119115.2675,41603.99103,42417.92931,44255.39094,20959.365,21459.33191,22235.06826,23069.39665,23917.76507,23538.13284,24048.27039,24075.6317,24485.77587,43592.25045,20983.57569,43447.70509,88764.77249,110315.3647,63726.41668,70950.72314,25438.00708,43119.64486,54364.17429,116911.7772,70747.13546,69595.1177,382.7828571,71766.17321,79270.26497,63090.95975,88093.61769,76809.47919,76809.47919,77150.81188,77333.63238,79388.9414,74612.77543,86146.16247,98024.46863,99618.78026,113545.6648,26931.53333,100357.4279,100440.2307,43817.16668,82900.9819,62805.73843,63702.45502,1406.756505,58299.01626,58219.33481,76809.47919,85180.61,101504.4227,75067.17869,118460.0366
ws-HW6,119191.221,112556.5578,107111.6444,102277.0329,92387.7502,86877.34685,74367.29824,71877.92725,63854.06426,54171.37345,48724.43223,26241.81009,22328.61396,61864.36728,69064.34102,40934.83971,79053.34859,77705.01326,48524.49428,54271.34242,26624.54413,88367.0037,41017.64242,30328.16863,2682.044843,2040.805237,1606.694453,18656.36662,19739.10314,19766.46445,20617.9835,21410.91053,24024.0597,24372.46122,25020.84289,43317.91856,44566.26051,3723.160343,25124.70567,43292.98909,965.4548465,0,25676.24458,119846.4519,41535.22836,42349.16664,44186.62827,20890.60233,21390.56924,22166.3056,23000.63398,23849.00241,23469.37017,23979.50772,24006.86903,24417.0132,43523.48778,21714.76007,43378.94242,88696.00982,110246.602,64457.60106,71681.90752,25369.24441,43050.88219,54295.41162,116843.0145,71478.31984,69526.35503,1289.670087,71697.41054,79201.5023,63022.19708,88024.85502,77540.66357,77540.66357,77881.99626,78064.81676,80120.12578,75343.95981,86877.34685,97955.70596,99550.01759,113476.9021,26862.77066,100288.6653,100371.468,43748.40401,82832.21923,62736.97577,63633.69235,2040.805237,58230.2536,58950.51919,77540.66357,85911.79438,102235.6071,75798.36307,119191.221
ws-11,142300.5815,135665.9182,130221.0049,125386.3933,115497.1106,109986.7073,97476.65869,94987.28769,86963.4247,77280.73389,71833.79268,49351.17053,45437.9744,84973.72773,92173.70146,64044.20015,102162.709,100814.3737,71633.85473,77380.70286,49733.90457,111476.3641,64127.00287,53437.52907,24799.79606,24948.21082,25596.59248,10497.59195,9931.866551,8866.44273,7810.94548,6896.842968,2589.266744,1948.027138,1182.510239,17641.67398,18890.01593,24899.78944,1048.35519,17616.74451,25745.00724,25676.24458,0,142955.8123,15858.98379,16672.92207,18510.3837,8752.092007,8544.963185,7872.224385,7058.090847,7409.350102,5926.932942,4895.744012,3830.320192,2840.557026,17847.2432,44824.12051,17702.69785,63433.77881,84984.37101,87566.9615,94791.26796,541.2706325,17623.04575,29033.18061,91580.78354,94587.68028,43850.11046,25962.18467,46021.16597,53939.2713,37759.96608,62762.62402,100650.024,100650.024,100991.3567,101174.1772,103229.4862,98453.32025,109986.7073,72693.47495,74287.78659,88214.67114,2240.743184,74612.4207,74695.22341,18072.15944,57155.97465,37474.74476,38371.46134,24748.22406,32968.02259,82059.87963,100650.024,109021.1548,125344.9676,98907.72351,142300.5815
s-1,3313.626361,7289.894099,12734.80743,17569.41899,27458.70166,32969.105,45479.15361,47968.52461,55992.3876,65675.07841,71122.01962,93604.64177,97517.8379,57982.08457,50782.11084,79370.10447,40793.10327,42141.4386,71321.95757,65575.10944,93421.84568,31479.44815,78887.37705,90308.23049,118570.0298,118918.4313,118766.866,135935.9343,137018.6709,137046.0322,137897.5512,138690.4783,141303.6274,141652.0289,142300.4106,160597.4863,161845.8282,118056.0229,142404.2734,160572.5568,119115.2675,119846.4519,142955.8123,0,158814.7961,159628.7344,161466.196,138170.1701,138670.137,139445.8733,140280.2017,141128.5701,140748.9379,141259.0754,141286.4368,141696.5809,160803.0555,100955.6927,160658.5101,205975.5775,227526.1697,70568.35521,77792.66167,142648.8121,160330.4499,171574.9793,234122.5823,55419.69099,186805.9228,118732.4846,188976.9783,196481.07,180301.7648,205304.4227,83651.41772,83651.41772,83992.75041,84175.57091,86230.87993,81454.71396,32969.105,215235.2737,216829.5853,230756.4699,144142.3384,217568.233,217651.0357,161027.9717,200111.787,180016.5435,180913.2601,119118.4181,175509.8213,60895.93267,83651.41772,33934.65748,17669.41237,44048.08879,3313.626361
ws-OGDL,158159.5653,151524.902,146079.9887,141245.3771,131356.0944,125845.6911,113335.6425,110846.2715,102822.4085,93139.71768,87692.77646,65210.15432,61296.95819,100832.7115,108032.6852,79903.18394,118021.6928,116673.3575,87492.83852,93239.68665,65592.88836,127335.3479,79985.98665,69296.51286,40658.77984,40807.19461,41455.57627,26356.57573,25439.44464,24666.8589,23318.52357,22111.58297,17511.16867,17162.76714,16514.38548,1782.690192,3031.032144,40758.77323,16410.52269,4241.84214,41603.99103,41535.22836,15858.98379,158814.7961,0,1282.479212,3148.216192,23791.12916,23291.16226,22267.01776,21101.47852,20749.92637,19970.32061,18880.56407,18107.97833,17118.21516,6796.873995,60683.1043,5448.660699,52294.54972,73845.14192,103425.9453,110650.2518,16165.98395,7655.168993,17893.95152,80441.55445,110446.6641,28405.14024,41821.16846,34633.52873,42800.0422,26620.73698,51623.39492,116509.0078,116509.0078,116850.3405,117033.161,119088.47,114312.304,125845.6911,61554.24586,63148.55749,77075.44205,14848.16055,58753.43691,58836.23962,3786.427214,41296.99087,26335.51567,27232.23225,40607.20784,21828.7935,97918.86342,116509.0078,124880.1386,141203.9513,114766.7073,158159.5653
ws-OG10,158973.5035,152338.8403,146893.9269,142059.3154,132170.0327,126659.6294,114149.5808,111660.2098,103636.3468,93953.65596,88506.71474,66024.0926,62110.89647,101646.6498,108846.6235,80717.12222,118835.6311,117487.2958,88306.7768,94053.62493,66406.82664,128149.2862,80799.92493,70110.45114,41472.71812,41621.13288,42269.51455,27170.51401,26253.38292,25480.79718,24132.46185,22925.52125,18325.10694,17976.70542,17328.32376,1913.914285,2665.439954,41572.7115,17224.46097,5358.618295,42417.92931,42349.16664,16672.92207,159628.7344,1282.479212,0,3445.045714,24605.06744,24105.10054,23080.95604,21915.4168,21563.86465,20784.25889,19694.50235,18921.91661,17932.15344,7913.650149,61497.04258,6565.436853,52591.37924,74141.97144,104239.8836,111464.19,16979.92223,8771.945148,18190.78104,80738.38397,111260.6023,28701.96976,42635.10674,34930.35825,43096.87173,26917.56651,51920.22444,117322.9461,117322.9461,117664.2788,117847.0993,119902.4083,115126.2423,126659.6294,61851.07538,63445.38702,77372.27157,15662.09883,58056.63386,58139.43658,4258.959585,40600.18782,26632.34519,27529.06177,41421.14612,22125.62302,98732.8017,117322.9461,125694.0769,142017.8896,115580.6456,158973.5035
ws-SP3,160810.9652,154176.3019,148731.3886,143896.777,134007.4943,128497.091,115987.0424,113497.6714,105473.8084,95791.11759,90344.17637,67861.55423,63948.3581,103484.1114,110684.0852,82554.58385,120673.0927,119324.7574,90144.23842,95891.08656,68244.28827,129986.7478,82637.38656,71947.91277,43310.17975,43458.59451,44106.97618,29007.97564,28090.84455,27318.25881,25969.92348,24762.98288,20162.56857,19814.16705,19165.78538,1531.131428,1482.417159,43410.17313,19061.9226,2440.681131,44255.39094,44186.62827,18510.3837,161466.196,3148.216192,3445.045714,0,26442.52907,25942.56217,24918.41766,23752.87843,23401.32628,22621.72052,21531.96398,20759.37824,19769.61507,4995.712986,63334.50421,3647.499689,49146.33353,70696.92573,106077.3452,113301.6517,18817.38386,5854.007984,14745.73533,77293.33826,113098.064,25339.72676,44472.56837,31485.31254,39651.82601,23472.52079,48475.17873,119160.4077,119160.4077,119501.7404,119684.5609,121739.8699,116963.7039,128497.091,58406.02967,60000.3413,73927.22586,17499.56046,56102.037,56184.83971,1341.022421,38645.59096,23187.29947,24084.01606,43258.60775,18680.57731,100570.2633,119160.4077,127531.5385,143855.3512,117418.1072,160810.9652
