"","acoustic_tag_id","row_id","animal_project_code","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections","swimtime_s","swimdistance_m","speed_m_s","totaldistance_m","distance_to_source_m","downstream_migration","first_dist_to_use","first_dist_to_use_idx","time_first_dist_to_use","delta_totdist","delta_t","migration_speed","migration"
"21","A69-1601-20820",21,"2014_Frome","F7","VR2W-123747",50.683685,-2.108733,2014-11-08 23:19:34,2014-11-08 23:19:34,1,35,2338.776258,66.822179,16757.077151,12079.524635,NA,NA,NA,NA,NA,NA,NA,FALSE
"22","A69-1601-20820",22,"2014_Frome","F8","VR2W-123749",50.690398,-2.084783,2014-11-08 23:20:18,2014-11-08 23:20:18,1,44,2338.776258,53.154006,19095.853409,14418.300893,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"23","A69-1601-20820",23,"2014_Frome","F7","VR2W-123747",50.683685,-2.108733,2014-11-08 23:20:57,2014-11-08 23:20:57,1,39,2338.776258,59.968622,21434.629667,12079.524635,NA,NA,NA,NA,NA,NA,NA,FALSE
"24","A69-1601-20820",24,"2014_Frome","F8","VR2W-123749",50.690398,-2.084783,2014-11-08 23:21:02,2014-11-08 23:24:23,7,5,2338.776258,467.755252,23773.405925,14418.300893,NA,NA,NA,NA,NA,NA,NA,FALSE
"25","A69-1601-20821",25,"2014_Frome","rel_frome","none",50.688068,-2.257873,2014-11-03 18:07:00,2014-11-03 18:07:00,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE
"26","A69-1601-20822",26,"2014_Frome","rel_frome","none",50.688068,-2.257873,2014-11-03 19:00:00,2014-11-03 19:00:00,1,NA,NA,NA,0,0,TRUE,5199.904243,3,2014-11-04 06:37:08,5199.904243,41828,0.124316348928947,TRUE
"27","A69-1601-20822",27,"2014_Frome","F1","VR2W-103011",50.681696,-2.21012,2014-11-04 05:16:09,2014-11-04 05:33:15,9,36969,3674.748244,0.099401,3674.748244,3674.748244,NA,NA,NA,NA,NA,NA,NA,TRUE
"28","A69-1601-20822",28,"2014_Frome","F6","VR2W-105212",50.680533,-2.190656,2014-11-04 06:37:08,2014-11-04 06:38:47,4,3833,1525.155999,0.397901,5199.904243,5199.904243,NA,NA,NA,NA,NA,NA,NA,TRUE
"29","A69-1601-20823",29,"2014_Frome","rel_frome","none",50.688068,-2.257873,2014-11-07 18:35:00,2014-11-07 18:35:00,1,NA,NA,NA,0,0,TRUE,5199.904243,2,2014-11-08 01:15:37,5199.904243,24037,0.216329169322295,TRUE
"30","A69-1601-20823",30,"2014_Frome","F6","VR2W-105212",50.680533,-2.190656,2014-11-08 01:15:37,2014-11-08 01:15:57,2,24037,5199.904243,0.216329,5199.904243,5199.904243,TRUE,12079.524635,3,2014-11-08 22:31:31,6879.620392,76554,0.0898662433315046,TRUE
"31","A69-1601-20823",31,"2014_Frome","F7","VR2W-123747",50.683685,-2.108733,2014-11-08 22:31:31,2014-11-08 22:46:39,27,76534,6879.620392,0.08989,12079.524635,12079.524635,NA,NA,NA,NA,NA,NA,NA,TRUE
"32","A69-1601-20823",32,"2014_Frome","F8","VR2W-123749",50.690398,-2.084783,2014-11-08 22:46:54,2014-11-08 22:46:54,1,15,2338.776258,155.918417,14418.300893,14418.300893,FALSE,NA,NA,NA,NA,NA,NA,TRUE
"33","A69-1601-20823",33,"2014_Frome","F7","VR2W-123747",50.683685,-2.108733,2014-11-08 22:47:17,2014-11-08 22:47:17,1,23,2338.776258,101.685924,16757.077151,12079.524635,NA,NA,NA,NA,NA,NA,NA,FALSE
"34","A69-1601-20823",34,"2014_Frome","F8","VR2W-123749",50.690398,-2.084783,2014-11-08 22:47:22,2014-11-08 22:48:00,2,5,2338.776258,467.755252,19095.853409,14418.300893,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"35","A69-1601-20823",35,"2014_Frome","F7","VR2W-123747",50.683685,-2.108733,2014-11-08 22:48:20,2014-11-08 22:48:20,1,20,2338.776258,116.938813,21434.629667,12079.524635,NA,NA,NA,NA,NA,NA,NA,FALSE
"36","A69-1601-20823",36,"2014_Frome","F8","VR2W-123749",50.690398,-2.084783,2014-11-08 22:48:28,2014-11-08 22:48:28,1,8,2338.776258,292.347032,23773.405925,14418.300893,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"37","A69-1601-20823",37,"2014_Frome","F7","VR2W-123747",50.683685,-2.108733,2014-11-08 22:48:44,2014-11-08 22:48:44,1,16,2338.776258,146.173516,26112.182183,12079.524635,NA,NA,NA,NA,NA,NA,NA,FALSE
"38","A69-1601-20823",38,"2014_Frome","F8","VR2W-123749",50.690398,-2.084783,2014-11-08 22:49:04,2014-11-08 22:49:04,1,20,2338.776258,116.938813,28450.958441,14418.300893,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"39","A69-1601-20823",39,"2014_Frome","F7","VR2W-123747",50.683685,-2.108733,2014-11-08 22:49:12,2014-11-08 22:49:12,1,8,2338.776258,292.347032,30789.734699,12079.524635,NA,NA,NA,NA,NA,NA,NA,FALSE
"40","A69-1601-20823",40,"2014_Frome","F8","VR2W-123749",50.690398,-2.084783,2014-11-08 22:49:28,2014-11-08 22:49:28,1,16,2338.776258,146.173516,33128.510957,14418.300893,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"41","A69-1601-20823",41,"2014_Frome","F7","VR2W-123747",50.683685,-2.108733,2014-11-08 22:49:49,2014-11-08 22:49:49,1,21,2338.776258,111.370298,35467.287215,12079.524635,NA,NA,NA,NA,NA,NA,NA,FALSE
"42","A69-1601-20823",42,"2014_Frome","F8","VR2W-123749",50.690398,-2.084783,2014-11-08 22:49:56,2014-11-08 22:49:56,1,7,2338.776258,334.110894,37806.063473,14418.300893,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"43","A69-1601-20823",43,"2014_Frome","F7","VR2W-123747",50.683685,-2.108733,2014-11-08 22:50:14,2014-11-08 22:50:14,1,18,2338.776258,129.932014,40144.839731,12079.524635,NA,NA,NA,NA,NA,NA,NA,FALSE
"44","A69-1601-20823",44,"2014_Frome","F8","VR2W-123749",50.690398,-2.084783,2014-11-08 22:50:33,2014-11-08 22:50:33,1,19,2338.776258,123.093487,42483.615989,14418.300893,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"45","A69-1601-20823",45,"2014_Frome","F7","VR2W-123747",50.683685,-2.108733,2014-11-08 22:50:45,2014-11-08 22:50:45,1,12,2338.776258,194.898022,44822.392247,12079.524635,NA,NA,NA,NA,NA,NA,NA,FALSE
"46","A69-1601-20823",46,"2014_Frome","F8","VR2W-123749",50.690398,-2.084783,2014-11-08 22:50:58,2014-11-08 22:51:29,2,13,2338.776258,179.905866,47161.168505,14418.300893,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"47","A69-1601-20823",47,"2014_Frome","F7","VR2W-123747",50.683685,-2.108733,2014-11-08 22:52:36,2014-11-08 22:52:36,1,67,2338.776258,34.907108,49499.944763,12079.524635,NA,NA,NA,NA,NA,NA,NA,FALSE
"48","A69-1601-20823",48,"2014_Frome","F8","VR2W-123749",50.690398,-2.084783,2014-11-08 22:52:51,2014-11-08 22:52:51,1,15,2338.776258,155.918417,51838.721021,14418.300893,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"49","A69-1601-20823",49,"2014_Frome","F7","VR2W-123747",50.683685,-2.108733,2014-11-08 22:53:40,2014-11-08 22:53:40,1,49,2338.776258,47.730128,54177.497279,12079.524635,NA,NA,NA,NA,NA,NA,NA,FALSE
"50","A69-1601-20823",50,"2014_Frome","F8","VR2W-123749",50.690398,-2.084783,2014-11-08 22:54:23,2014-11-08 22:54:23,1,43,2338.776258,54.390146,56516.273537,14418.300893,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"51","A69-1601-20823",51,"2014_Frome","F7","VR2W-123747",50.683685,-2.108733,2014-11-08 22:55:50,2014-11-08 22:55:50,1,87,2338.776258,26.882486,58855.049795,12079.524635,NA,NA,NA,NA,NA,NA,NA,FALSE
"52","A69-1601-20823",52,"2014_Frome","F8","VR2W-123749",50.690398,-2.084783,2014-11-08 22:56:34,2014-11-08 22:56:34,1,44,2338.776258,53.154006,61193.826053,14418.300893,FALSE,NA,NA,NA,NA,NA,NA,FALSE
