"","...1","animal_project_code","acoustic_tag_id","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections","swimtime_s","swimdistance_m","speed_m_s","totaldistance_m","distance_to_source_m"
"32",32,"PTN-Silver-eel-Mondego","A69-1601-19214","R1","VR2W-125699",40.283,-8.266,2015-12-01 23:24:17,2015-12-02 00:03:13,9,NA,NA,NA,1671.881643,1671.881643
"33",33,"PTN-Silver-eel-Mondego","A69-1601-19214","R1","VR2W-125699",40.283,-8.266,2015-12-05 18:48:02,2015-12-05 19:09:02,18,NA,NA,NA,1671.881643,1671.881643
"34",34,"PTN-Silver-eel-Mondego","A69-1601-19214","R1","VR2W-125699",40.283,-8.266,2015-12-05 21:38:36,2015-12-05 21:38:36,1,NA,NA,NA,1671.881643,1671.881643
"35",35,"PTN-Silver-eel-Mondego","A69-1601-19214","R2","VR2W-125700",40.208,-8.434,2016-01-05 00:52:06,2016-01-05 01:11:10,7,2603610,24952.180689,0.009584,26624.062332,26624.062332
"36",36,"PTN-Silver-eel-Mondego","A69-1601-19214","R7","VR2W-125708",40.145,-8.842,2016-01-06 15:30:07,2016-01-06 15:30:07,1,137937,45361.332462,0.328855,71985.394794,71985.394793
"37",37,"PTN-Silver-eel-Mondego","A69-1601-19215","rel_mondego","none",40.295,-8.257,2015-12-02 17:00:00,2015-12-02 17:00:00,1,NA,NA,NA,0,0
"38",38,"PTN-Silver-eel-Mondego","A69-1601-19215","R1","VR2W-125699",40.283,-8.266,2015-12-07 21:28:54,2015-12-07 22:04:47,21,448134,1671.881643,0.003731,1671.881643,1671.881643
"39",39,"PTN-Silver-eel-Mondego","A69-1601-19215","R2","VR2W-125700",40.208,-8.434,2016-01-05 03:32:45,2016-01-05 03:45:18,4,2438878,24952.180689,0.010231,26624.062332,26624.062332
"40",40,"PTN-Silver-eel-Mondego","A69-1601-19215","R7","VR2W-125708",40.145,-8.842,2016-01-06 18:24:29,2016-01-06 18:26:02,2,139151,45361.332462,0.325986,71985.394794,71985.394793
"41",41,"PTN-Silver-eel-Mondego","A69-1601-19216","rel_mondego","none",40.295,-8.257,2015-12-02 17:00:00,2015-12-02 17:00:00,1,NA,NA,NA,0,0
"42",42,"PTN-Silver-eel-Mondego","A69-1601-19216","R1","VR2W-125699",40.283,-8.266,2016-01-03 18:35:13,2016-01-03 19:07:56,19,2770513,1671.881643,0.000603,1671.881643,1671.881643
"43",43,"PTN-Silver-eel-Mondego","A69-1601-19216","R2","VR2W-125700",40.208,-8.434,2016-01-04 23:51:08,2016-01-05 00:08:34,6,103392,24952.180689,0.241336,26624.062332,26624.062332
"44",44,"PTN-Silver-eel-Mondego","A69-1601-19216","R7","VR2W-125708",40.145,-8.842,2016-01-05 19:53:20,2016-01-05 19:58:10,4,71086,45361.332462,0.638119,71985.394794,71985.394793
"45",45,"PTN-Silver-eel-Mondego","A69-1601-19217","rel_mondego","none",40.295,-8.257,2015-12-02 17:00:00,2015-12-02 17:00:00,1,NA,NA,NA,0,0
"46",46,"PTN-Silver-eel-Mondego","A69-1601-19217","R1","VR2W-125699",40.283,-8.266,2015-12-14 01:14:46,2015-12-14 01:36:40,9,980086,1671.881643,0.001706,1671.881643,1671.881643
"47",47,"PTN-Silver-eel-Mondego","A69-1601-19217","R1","VR2W-125699",40.283,-8.266,2015-12-15 22:40:27,2015-12-15 22:40:27,1,NA,NA,NA,1671.881643,1671.881643
"48",48,"PTN-Silver-eel-Mondego","A69-1601-19217","R2","VR2W-125700",40.208,-8.434,2016-01-02 18:42:17,2016-01-02 19:57:06,62,1540910,24952.180689,0.016193,26624.062332,26624.062332
"49",49,"PTN-Silver-eel-Mondego","A69-1601-19217","R7","VR2W-125708",40.145,-8.842,2016-01-05 14:35:47,2016-01-05 14:55:00,18,239921,45361.332462,0.189068,71985.394794,71985.394793
"50",50,"PTN-Silver-eel-Mondego","A69-1601-19217","R7","VR2W-125708",40.145,-8.842,2016-01-05 18:24:17,2016-01-05 18:35:19,3,NA,NA,NA,71985.394794,71985.394793
"51",51,"PTN-Silver-eel-Mondego","A69-1601-19217","R8","VR2W-125704",40.145372,-8.873039,2016-01-05 19:47:56,2016-01-05 19:47:56,1,4357,2822.413272,0.647788,74807.808066,74807.808066
"52",52,"PTN-Silver-eel-Mondego","A69-1601-19218","rel_mondego","none",40.295,-8.257,2015-12-02 17:00:00,2015-12-02 17:00:00,1,NA,NA,NA,0,0
"53",53,"PTN-Silver-eel-Mondego","A69-1601-19218","R1","VR2W-125699",40.283,-8.266,2015-12-28 22:43:47,2015-12-28 23:39:41,19,2267027,1671.881643,0.000737,1671.881643,1671.881643
"54",54,"PTN-Silver-eel-Mondego","A69-1601-19218","R2","VR2W-125700",40.208,-8.434,2016-01-04 19:26:05,2016-01-04 19:33:58,7,589584,24952.180689,0.042322,26624.062332,26624.062332
"55",55,"PTN-Silver-eel-Mondego","A69-1601-19218","R7","VR2W-125708",40.145,-8.842,2016-01-05 18:35:46,2016-01-05 19:38:04,33,82908,45361.332462,0.547129,71985.394794,71985.394793
"56",56,"PTN-Silver-eel-Mondego","A69-1601-19219","rel_mondego","none",40.295,-8.257,2015-12-02 17:00:00,2015-12-02 17:00:00,1,NA,NA,NA,0,0
"57",57,"PTN-Silver-eel-Mondego","A69-1601-19219","R1","VR2W-125699",40.283,-8.266,2015-12-04 22:47:07,2015-12-04 22:56:35,5,193627,1671.881643,0.008635,1671.881643,1671.881643
"58",58,"PTN-Silver-eel-Mondego","A69-1601-19219","R1","VR2W-125699",40.283,-8.266,2015-12-06 18:34:46,2015-12-06 19:27:32,32,NA,NA,NA,1671.881643,1671.881643
"59",59,"PTN-Silver-eel-Mondego","A69-1601-19219","R1","VR2W-125699",40.283,-8.266,2015-12-07 04:11:35,2015-12-07 05:58:29,30,NA,NA,NA,1671.881643,1671.881643
"60",60,"PTN-Silver-eel-Mondego","A69-1601-19219","R1","VR2W-125699",40.283,-8.266,2015-12-08 21:10:36,2015-12-08 23:33:51,112,NA,NA,NA,1671.881643,1671.881643
"61",61,"PTN-Silver-eel-Mondego","A69-1601-19219","R1","VR2W-125699",40.283,-8.266,2015-12-11 00:18:29,2015-12-11 00:47:56,3,NA,NA,NA,1671.881643,1671.881643
"62",62,"PTN-Silver-eel-Mondego","A69-1601-19219","R1","VR2W-125699",40.283,-8.266,2015-12-14 02:37:24,2015-12-14 02:37:24,1,NA,NA,NA,1671.881643,1671.881643
"63",63,"PTN-Silver-eel-Mondego","A69-1601-19219","R1","VR2W-125699",40.283,-8.266,2015-12-19 02:35:03,2015-12-19 04:27:15,24,NA,NA,NA,1671.881643,1671.881643
"64",64,"PTN-Silver-eel-Mondego","A69-1601-19219","R1","VR2W-125699",40.283,-8.266,2015-12-26 10:50:38,2015-12-26 10:50:38,1,NA,NA,NA,1671.881643,1671.881643
"65",65,"PTN-Silver-eel-Mondego","A69-1601-19219","R1","VR2W-125699",40.283,-8.266,2015-12-26 12:05:31,2015-12-26 21:01:32,102,NA,NA,NA,1671.881643,1671.881643
"66",66,"PTN-Silver-eel-Mondego","A69-1601-19219","R1","VR2W-125699",40.283,-8.266,2015-12-27 01:16:03,2015-12-27 02:17:06,8,NA,NA,NA,1671.881643,1671.881643
"67",67,"PTN-Silver-eel-Mondego","A69-1601-19219","R1","VR2W-125699",40.283,-8.266,2015-12-27 03:27:40,2015-12-27 03:27:40,1,NA,NA,NA,1671.881643,1671.881643
"68",68,"PTN-Silver-eel-Mondego","A69-1601-19219","R1","VR2W-125699",40.283,-8.266,2015-12-27 04:34:50,2015-12-27 06:27:44,12,NA,NA,NA,1671.881643,1671.881643
"69",69,"PTN-Silver-eel-Mondego","A69-1601-19219","R1","VR2W-125699",40.283,-8.266,2015-12-27 10:02:39,2015-12-27 11:25:20,4,NA,NA,NA,1671.881643,1671.881643
"70",70,"PTN-Silver-eel-Mondego","A69-1601-19219","R1","VR2W-125699",40.283,-8.266,2015-12-27 13:34:47,2015-12-28 06:59:43,221,NA,NA,NA,1671.881643,1671.881643
