animal_project_code,station_name,latitude,longitude,habitat_type,habitat_type2,habitat_type3
emmn,25,70.085,23.021833,tidal_brackish,tidal_brackish,tidal
emmn,24,70.085167,23.010833,tidal_brackish,tidal_brackish,tidal
emmn,3,70.195333,22.987167,tidal_brackish,tidal_brackish,tidal
emmn,14,70.206667,23.100167,tidal_brackish,tidal_brackish,tidal
emmn,15,70.207667,23.110333,tidal_brackish,tidal_brackish,tidal
emmn,35,70.085333,23.126467,tidal_brackish,tidal_brackish,tidal
emmn,23,70.0849,23.0015,tidal_brackish,tidal_brackish,tidal
emmn,17,70.209833,23.131167,tidal_brackish,tidal_brackish,tidal
emmn,18,70.210833,23.140667,tidal_brackish,tidal_brackish,tidal
emmn,20,70.213167,23.161,tidal_brackish,tidal_brackish,tidal
emmn,rel_emmn1,69.95785,23.344467,freshwater,freshwater,freshwater
emmn,rel_emmn2,69.968117,23.376517,freshwater,freshwater,freshwater
2014_nene,Nene1,52.501359,-0.457504,freshwater,freshwater,freshwater
2014_nene,Nene2,52.5181,-0.462327,freshwater,freshwater,freshwater
2014_nene,Nene3,52.520948,-0.459427,freshwater,freshwater,freshwater
2014_nene,Nene6,52.512671,-0.422816,freshwater,freshwater,freshwater
2014_nene,Nene7,52.516966,-0.41662,freshwater,freshwater,freshwater
2014_nene,Nene8,52.532269,-0.405248,freshwater,freshwater,freshwater
2014_nene,Nene10,52.562164,-0.416704,freshwater,freshwater,freshwater
2014_nene,Nene15,52.582893,-0.408341,freshwater,freshwater,freshwater
2014_nene,Nene16,52.582893,-0.408341,freshwater,freshwater,freshwater
2014_nene,Nene17,52.56297,-0.364242,freshwater,freshwater,freshwater
2014_nene,Nene19,52.558471,-0.341352,freshwater,freshwater,freshwater
2014_nene,Nene27,52.576516,-0.125599,freshwater,freshwater,freshwater
2014_nene,Nene28,52.576795,-0.123919,tidal_freshwater,tidal_freshwater,tidal
2014_nene,Nene29,52.611081,0.066577,tidal_freshwater,tidal_freshwater,tidal
2014_nene,Nene30,52.807336,0.213339,tidal_brackish,tidal_brackish,tidal
2014_nene,Nene4,52.516491,-0.458905,freshwater,freshwater,freshwater
2014_nene,Nene5,52.516092,-0.421161,freshwater,freshwater,freshwater
2014_nene,Nene20,52.553619,-0.337051,freshwater,freshwater,freshwater
2014_nene,Nene23,52.553031,-0.33489,freshwater,freshwater,freshwater
2014_nene,Nene24,52.552154,-0.332637,freshwater,freshwater,freshwater
2014_nene,Nene25,52.56006,-0.282503,freshwater,freshwater,freshwater
2014_nene,Nene26,52.560515,-0.281025,freshwater,freshwater,freshwater
2014_nene,Nene22,52.552793,-0.33397,freshwater,freshwater,freshwater
2014_nene,Nene13,52.571406,-0.415309,freshwater,freshwater,freshwater
2014_nene,Nene9,52.532899,-0.404621,freshwater,freshwater,freshwater
2014_nene,Nene11,52.559161,-0.414673,freshwater,freshwater,freshwater
2014_nene,rel_nene,52.501614,-0.457053,freshwater,freshwater,freshwater
noordzeekanaal,Koog ad Zaan,52.463171,4.812326,freshwater,freshwater,freshwater
noordzeekanaal,Zaangemaal 1,52.440868,4.824139,freshwater,freshwater,freshwater
noordzeekanaal,Zaangemaal 2,52.440083,4.824859,freshwater,freshwater,freshwater
noordzeekanaal,Zaangemaal 3,52.437818,4.826197,freshwater,freshwater,freshwater
noordzeekanaal,Noordzeekanaal,52.462798,4.633995,freshwater,freshwater,freshwater
noordzeekanaal,Grote sluis NZK,52.467488,4.613347,freshwater,freshwater,freshwater
noordzeekanaal,Middensluis NZK,52.465373,4.601803,freshwater,freshwater,freshwater
noordzeekanaal,Kleine sluis NZK,52.464559,4.592909,freshwater,freshwater,freshwater
noordzeekanaal,Grote sluis Noordzee,52.466907,4.600546,marine_barrier,freshwater,freshwater
noordzeekanaal,Spuisluis Noordzee,52.470319,4.594701,marine_barrier,freshwater,freshwater
noordzeekanaal,Willem 2 sluis 2,52.383677,4.907053,freshwater,freshwater,freshwater
noordzeekanaal,Oranjesluis,52.380016,4.955998,freshwater,freshwater,freshwater
noordzeekanaal,ARK Noord,52.355706,4.97029,freshwater,freshwater,freshwater
noordzeekanaal,Kleine sluis Noordzee,52.463762,4.587267,marine_barrier,freshwater,freshwater
